loan_id,issue_date,loan_amnt,funded_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,purpose,addr_state,dti,fico_score,revol_util,total_pymnt,loan_status
52,2015-04-01,30000,30000,60 months,17.66,756.26,D,7 years,MORTGAGE,35838,small_business,OH,11.62,664,52.35,39931.91,0
53,2018-02-01,20000,20000,36 months,26.63,812.54,F,9 years,RENT,109779,credit_card,IL,18.07,583,36.84,8577.83,1
54,2016-11-01,25000,25000,36 months,20.19,931.51,E,7 years,MORTGAGE,67624,debt_consolidation,GA,16.13,769,32.15,30350.6,0
55,2018-03-01,5000,5000,36 months,15.3,174.06,C,5 years,RENT,19275,medical,MI,44.29,796,43.08,6092.57,0
56,2015-05-01,5000,5000,60 months,24.19,144.39,F,9 years,RENT,45309,debt_consolidation,MI,42.77,661,49.85,6154.53,0
57,2017-09-01,10000,10000,36 months,6.95,308.54,A,3 years,RENT,15231,credit_card,IL,42.67,741,27.92,1016.05,1
58,2016-05-01,20000,20000,60 months,6.04,387.03,A,< 1 year,MORTGAGE,24392,home_improvement,NY,41.62,740,77.94,25910.85,0
59,2017-03-01,10000,10000,36 months,7.68,311.89,A,5 years,RENT,25293,credit_card,CA,21.55,847,28.78,12694.65,0
60,2015-06-01,5000,5000,60 months,9.57,105.18,B,9 years,RENT,33370,major_purchase,NY,24.74,791,66.63,6662.4,0
61,2016-08-01,35000,35000,60 months,10.42,750.9,B,< 1 year,MORTGAGE,41872,home_improvement,PA,8.87,740,21.23,9962.52,1
62,2018-08-01,10000,10000,36 months,10.1,323.14,B,6 years,MORTGAGE,54108,debt_consolidation,NC,26.13,599,54.08,13455.67,0
63,2018-06-01,20000,20000,36 months,22.29,766.81,E,2 years,RENT,52508,home_improvement,FL,7.88,731,35.67,6931.58,1
64,2015-05-01,20000,20000,60 months,9.41,419.16,B,< 1 year,MORTGAGE,48324,debt_consolidation,NC,30.11,802,93.15,25706.2,0
65,2017-02-01,5000,5000,60 months,8.8,103.31,B,2 years,RENT,59840,credit_card,NY,18.33,595,48.58,5837.19,0
66,2018-02-01,20000,20000,36 months,15.33,696.54,C,1 year,MORTGAGE,23158,debt_consolidation,FL,29.45,694,50.62,22150.49,0
67,2015-12-01,10000,10000,60 months,7.77,201.66,A,6 years,RENT,51221,medical,MI,11.08,731,26.91,12258.7,0
68,2015-03-01,5000,5000,60 months,20.65,134.28,E,8 years,RENT,115922,debt_consolidation,IL,22.57,621,28.0,6935.62,0
69,2016-12-01,15000,15000,60 months,6.34,292.37,A,8 years,MORTGAGE,44378,other,OH,26.62,606,12.56,17905.49,0
70,2015-02-01,25000,25000,36 months,29.87,1059.51,G,2 years,MORTGAGE,65959,debt_consolidation,NY,21.55,678,42.31,13626.49,1
71,2018-11-01,35000,35000,60 months,18.05,889.72,D,8 years,OWN,62378,major_purchase,CA,39.54,772,22.25,7734.48,1
72,2017-09-01,15000,15000,60 months,6.4,292.79,A,2 years,RENT,82237,home_improvement,OH,31.51,722,49.53,16633.34,0
73,2016-06-01,30000,30000,60 months,7.95,607.57,A,< 1 year,MORTGAGE,58237,debt_consolidation,FL,23.03,688,29.31,33753.2,0
74,2016-09-01,30000,30000,60 months,23.3,850.89,E,7 years,RENT,81407,other,NC,7.11,632,55.81,35117.7,0
75,2018-06-01,15000,15000,36 months,17.95,541.91,D,9 years,RENT,66461,major_purchase,FL,8.51,603,11.92,17528.66,0
76,2015-06-01,5000,5000,36 months,19.05,183.41,D,7 years,MORTGAGE,72719,credit_card,GA,24.04,842,44.58,6358.42,0
77,2015-08-01,10000,10000,60 months,16.85,247.72,D,< 1 year,MORTGAGE,63912,home_improvement,PA,25.21,580,23.09,13955.92,0
78,2018-10-01,15000,15000,36 months,5.94,455.92,A,8 years,OWN,26793,debt_consolidation,PA,29.5,639,12.19,20175.94,0
79,2015-09-01,15000,15000,36 months,9.81,482.67,B,1 year,RENT,24283,debt_consolidation,PA,28.33,749,15.78,17264.65,0
80,2017-01-01,20000,20000,36 months,7.1,618.46,A,6 years,MORTGAGE,39658,debt_consolidation,MI,30.09,635,50.02,22102.83,0
81,2018-10-01,20000,20000,36 months,20.1,744.29,E,3 years,MORTGAGE,124366,credit_card,CA,10.17,619,16.69,24640.07,0
82,2018-04-01,15000,15000,60 months,14.22,350.74,C,6 years,MORTGAGE,44223,debt_consolidation,IL,10.05,639,28.41,18651.86,0
83,2015-12-01,10000,10000,60 months,8.83,206.76,B,7 years,RENT,59026,other,MI,42.27,653,61.96,11042.88,0
84,2016-05-01,10000,10000,36 months,5.22,300.7,A,5 years,MORTGAGE,15057,debt_consolidation,PA,23.81,595,36.57,5282.75,1
85,2018-05-01,15000,15000,36 months,10.31,486.19,B,2 years,MORTGAGE,55063,medical,FL,17.75,742,65.24,20493.35,0
86,2015-11-01,20000,20000,36 months,8.82,634.32,B,4 years,RENT,51613,debt_consolidation,NC,10.96,673,14.3,22220.31,0
87,2018-10-01,5000,5000,60 months,18.39,128.03,D,8 years,RENT,15000,credit_card,NY,22.03,810,28.26,6760.21,0
88,2016-12-01,10000,10000,36 months,13.45,339.11,C,4 years,MORTGAGE,58368,credit_card,MI,12.88,760,14.84,13217.96,0
89,2016-11-01,10000,10000,60 months,23.44,284.44,E,6 years,RENT,18204,small_business,NC,37.42,848,11.72,3356.63,1
90,2017-05-01,15000,15000,36 months,12.68,503.1,C,< 1 year,MORTGAGE,31722,debt_consolidation,FL,22.76,664,15.68,19465.04,0
91,2016-10-01,25000,25000,36 months,6.4,765.09,A,8 years,RENT,89025,home_improvement,MI,43.77,583,25.47,34852.46,0
92,2017-03-01,25000,25000,60 months,18.62,643.3,D,8 years,MORTGAGE,53877,other,GA,38.28,591,22.35,33366.29,0
93,2016-12-01,20000,20000,60 months,17.86,506.35,D,10+ years,MORTGAGE,37456,home_improvement,NY,31.08,792,45.92,24676.39,0
94,2017-05-01,20000,20000,36 months,12.28,666.96,C,1 year,MORTGAGE,35580,credit_card,GA,31.28,591,65.16,23515.8,0
95,2017-02-01,10000,10000,60 months,16.88,247.88,D,10+ years,OWN,38147,small_business,IL,44.76,676,35.63,13165.26,0
96,2018-05-01,30000,30000,60 months,15.01,713.86,C,< 1 year,OWN,53988,debt_consolidation,GA,27.68,789,23.69,7755.83,1
97,2018-02-01,5000,5000,36 months,14.48,172.06,C,1 year,RENT,23851,home_improvement,FL,31.41,618,23.18,6565.92,0
98,2017-01-01,15000,15000,60 months,8.35,306.66,B,2 years,OWN,96244,credit_card,PA,11.27,649,12.16,20253.01,0
99,2018-02-01,5000,5000,36 months,7.82,156.27,A,3 years,MORTGAGE,24623,small_business,NY,18.33,644,46.21,6647.7,0
100,2017-02-01,20000,20000,60 months,6.84,394.52,A,4 years,MORTGAGE,17391,credit_card,TX,18.23,657,42.17,22653.3,0
101,2018-10-01,5000,5000,36 months,7.18,154.8,A,1 year,RENT,88848,other,NC,12.73,642,33.72,6474.96,0
102,2017-06-01,20000,20000,36 months,14.73,690.67,C,7 years,MORTGAGE,37716,debt_consolidation,NC,16.45,652,39.13,27654.78,0
103,2017-03-01,5000,5000,36 months,10.39,162.25,B,2 years,RENT,51137,small_business,NC,14.36,846,15.84,6921.6,0
104,2018-08-01,10000,10000,60 months,12.08,222.85,C,6 years,RENT,72604,debt_consolidation,GA,35.76,779,9.63,12942.94,0
105,2017-06-01,25000,25000,36 months,25.51,1000.75,F,1 year,OTHER,31835,small_business,TX,11.32,785,23.43,2601.24,1
106,2015-12-01,10000,10000,36 months,10.19,323.56,B,5 years,RENT,53225,home_improvement,IL,31.99,624,35.43,13337.03,0
107,2015-08-01,30000,30000,60 months,11.97,666.88,B,9 years,RENT,72325,credit_card,TX,8.44,655,52.79,8136.65,1
108,2016-12-01,5000,5000,60 months,18.49,128.3,D,7 years,OWN,131392,debt_consolidation,NC,24.58,767,48.48,6116.87,0
109,2016-05-01,15000,15000,60 months,11.42,329.29,B,2 years,OTHER,36075,debt_consolidation,TX,18.03,776,66.1,18398.45,0
110,2018-09-01,30000,30000,36 months,6.42,918.38,A,2 years,MORTGAGE,37131,home_improvement,NY,44.59,684,15.06,37476.95,0
111,2017-11-01,15000,15000,36 months,8.04,470.32,B,6 years,RENT,68733,medical,FL,30.87,633,21.14,6921.54,1
112,2017-01-01,10000,10000,36 months,6.61,306.99,A,1 year,OWN,55556,small_business,MI,19.26,586,60.71,12336.97,0
113,2018-12-01,35000,35000,60 months,25.56,1038.82,F,9 years,RENT,45151,debt_consolidation,OH,41.44,744,22.59,44022.78,0
114,2017-01-01,15000,15000,60 months,20.72,403.44,E,2 years,RENT,127467,debt_consolidation,FL,5.82,821,29.72,6093.71,1
115,2017-04-01,20000,20000,36 months,13.4,677.74,C,< 1 year,MORTGAGE,17863,debt_consolidation,NY,13.89,682,4.92,24692.12,0
116,2016-02-01,30000,30000,36 months,23.32,1166.3,E,8 years,RENT,20888,debt_consolidation,MI,35.34,759,1.74,33418.12,0
117,2018-12-01,5000,5000,36 months,22.5,192.25,E,2 years,MORTGAGE,17988,credit_card,IL,8.53,643,21.67,6734.36,0
118,2015-08-01,20000,20000,60 months,7.0,396.02,A,4 years,RENT,100811,medical,GA,38.3,779,5.46,23788.5,0
119,2016-06-01,20000,20000,60 months,22.0,552.38,E,9 years,OWN,66758,debt_consolidation,OH,11.81,581,63.98,6095.43,1
120,2015-05-01,15000,15000,60 months,13.4,344.38,C,5 years,RENT,21537,debt_consolidation,PA,17.42,678,26.81,7075.14,1
121,2018-01-01,20000,20000,60 months,20.01,529.99,E,4 years,RENT,45532,home_improvement,PA,27.37,784,41.38,25847.3,0
122,2018-09-01,25000,25000,36 months,22.54,961.76,E,1 year,OWN,48213,credit_card,OH,34.76,603,32.03,32474.82,0
123,2016-02-01,10000,10000,36 months,9.16,318.74,B,4 years,RENT,15000,debt_consolidation,MI,5.26,630,44.37,13735.11,0
124,2018-01-01,10000,10000,36 months,5.81,303.36,A,6 years,RENT,54883,credit_card,IL,33.11,781,23.06,11825.55,0
125,2017-05-01,5000,5000,60 months,10.09,106.46,B,7 years,RENT,24184,other,PA,22.88,607,31.28,6562.52,0
126,2017-08-01,35000,35000,60 months,9.94,742.61,B,8 years,MORTGAGE,74906,credit_card,TX,20.66,671,18.78,43683.24,0
127,2015-09-01,5000,5000,36 months,23.64,195.22,E,10+ years,RENT,24632,credit_card,OH,22.38,601,10.03,1789.03,1
128,2017-02-01,15000,15000,36 months,23.21,582.29,E,< 1 year,OWN,55909,debt_consolidation,NC,19.94,753,45.0,5969.2,1
129,2015-12-01,15000,15000,60 months,7.12,297.87,A,6 years,RENT,106589,debt_consolidation,MI,33.22,602,30.13,20653.67,0
130,2018-09-01,5000,5000,60 months,13.26,114.43,C,5 years,MORTGAGE,87968,debt_consolidation,NY,14.07,649,18.38,6068.28,0
131,2016-03-01,15000,15000,60 months,10.1,319.44,B,4 years,OTHER,66456,other,NY,7.23,693,70.45,5443.06,1
132,2015-11-01,10000,10000,36 months,10.33,324.22,B,< 1 year,RENT,46685,home_improvement,TX,42.11,585,46.16,11266.59,0
133,2015-03-01,25000,25000,36 months,5.17,751.18,A,3 years,OWN,19929,debt_consolidation,CA,42.57,773,50.07,28725.52,0
134,2018-12-01,25000,25000,36 months,10.71,815.04,B,6 years,MORTGAGE,37667,credit_card,MI,10.93,696,56.12,34937.56,0
135,2018-02-01,15000,15000,36 months,26.53,608.6,F,1 year,RENT,42804,debt_consolidation,NC,10.06,649,21.62,16779.18,0
136,2015-12-01,15000,15000,36 months,10.3,486.12,B,10+ years,OTHER,40999,credit_card,CA,25.31,626,15.86,7885.58,1
137,2017-09-01,5000,5000,60 months,12.59,112.72,C,5 years,MORTGAGE,19533,debt_consolidation,TX,5.59,701,75.37,6775.35,0
138,2017-10-01,10000,10000,36 months,16.93,356.18,D,3 years,OTHER,63618,debt_consolidation,CA,10.65,770,14.45,11044.14,0
139,2017-09-01,15000,15000,36 months,11.22,492.64,B,1 year,RENT,24135,debt_consolidation,FL,43.39,593,58.6,2863.67,1
140,2015-05-01,15000,15000,36 months,29.66,633.98,G,10+ years,RENT,123953,debt_consolidation,TX,30.91,814,26.05,20515.36,0
141,2015-07-01,15000,15000,60 months,28.23,469.12,G,1 year,MORTGAGE,53573,debt_consolidation,PA,11.2,792,31.11,17223.21,0
142,2016-05-01,5000,5000,60 months,9.75,105.62,B,8 years,RENT,88217,debt_consolidation,GA,25.57,599,23.1,5722.56,0
143,2015-07-01,10000,10000,36 months,14.1,342.26,C,6 years,RENT,87129,medical,FL,25.14,715,55.69,13499.64,0
144,2017-12-01,15000,15000,60 months,9.29,313.49,B,7 years,RENT,170545,major_purchase,NC,22.21,818,50.79,18574.39,0
145,2016-02-01,15000,15000,36 months,11.73,496.28,B,9 years,RENT,54673,medical,NY,40.28,768,3.18,17493.31,0
146,2015-02-01,5000,5000,36 months,5.2,150.3,A,4 years,MORTGAGE,38791,other,CA,37.57,658,72.16,6314.36,0
147,2017-09-01,20000,20000,36 months,14.74,690.76,C,< 1 year,MORTGAGE,39243,credit_card,IL,9.67,713,45.77,7868.63,1
148,2015-05-01,5000,5000,60 months,15.65,120.66,C,< 1 year,RENT,120290,other,GA,24.99,683,7.4,1014.02,1
149,2017-06-01,5000,5000,36 months,6.11,152.36,A,2 years,OWN,22200,debt_consolidation,OH,21.87,777,81.39,5614.43,0
150,2018-09-01,20000,20000,36 months,8.13,627.93,B,1 year,MORTGAGE,28944,debt_consolidation,PA,29.89,818,19.24,26598.96,0
151,2017-03-01,5000,5000,36 months,24.05,196.3,F,10+ years,OWN,56511,other,FL,16.71,734,24.5,5861.13,0
152,2015-01-01,5000,5000,60 months,9.5,105.01,B,8 years,MORTGAGE,44726,debt_consolidation,MI,14.75,717,70.0,6076.25,0
153,2017-08-01,5000,5000,36 months,6.76,153.84,A,3 years,RENT,87604,credit_card,OH,21.6,598,26.49,5931.67,0
154,2018-04-01,30000,30000,36 months,15.1,1041.43,C,8 years,RENT,21955,home_improvement,NY,6.77,734,34.91,34918.18,0
155,2015-04-01,5000,5000,36 months,28.82,209.04,G,< 1 year,OWN,47090,debt_consolidation,PA,38.07,767,72.78,1151.65,1
156,2018-10-01,25000,25000,36 months,11.15,820.24,B,1 year,MORTGAGE,43817,major_purchase,FL,21.28,848,13.02,31397.17,0
157,2017-11-01,25000,25000,36 months,18.45,909.46,D,6 years,OWN,25761,other,PA,14.12,725,44.22,34285.83,0
158,2015-01-01,25000,25000,60 months,17.84,632.66,D,3 years,MORTGAGE,83049,credit_card,NY,15.9,823,63.87,30813.31,0
159,2017-12-01,20000,20000,60 months,8.04,405.91,B,2 years,OWN,46394,other,FL,25.93,744,72.31,27770.29,0
160,2018-05-01,10000,10000,36 months,16.63,354.69,D,< 1 year,MORTGAGE,45231,home_improvement,MI,16.6,671,40.3,13414.88,0
161,2017-04-01,25000,25000,36 months,8.83,793.02,B,10+ years,MORTGAGE,29886,credit_card,IL,5.86,838,63.91,9319.67,1
162,2017-04-01,20000,20000,36 months,13.7,680.64,C,5 years,OWN,39264,debt_consolidation,IL,16.91,766,83.96,22323.93,0
163,2017-05-01,20000,20000,60 months,15.88,485.09,C,5 years,MORTGAGE,26556,major_purchase,FL,28.78,803,31.76,27264.02,0
164,2016-02-01,20000,20000,60 months,12.99,454.96,C,1 year,OWN,82310,home_improvement,FL,44.74,843,18.01,24405.7,0
165,2018-07-01,5000,5000,36 months,5.79,151.63,A,< 1 year,MORTGAGE,91097,debt_consolidation,CA,42.24,698,28.01,5665.14,0
166,2017-01-01,10000,10000,36 months,21.61,379.89,E,4 years,RENT,134327,debt_consolidation,PA,39.17,640,30.73,1698.51,1
167,2018-06-01,35000,35000,36 months,11.66,1156.83,B,10+ years,RENT,63604,medical,GA,5.3,794,12.6,46020.83,0
168,2015-05-01,30000,30000,36 months,7.02,926.59,A,1 year,OWN,39993,credit_card,CA,43.48,753,36.28,33199.93,0
169,2015-12-01,10000,10000,36 months,7.14,309.41,A,4 years,MORTGAGE,36998,debt_consolidation,TX,18.5,823,14.87,13129.62,0
170,2015-03-01,35000,35000,60 months,15.23,836.88,C,7 years,OWN,65800,small_business,NC,26.0,596,79.6,45035.82,0
171,2016-05-01,5000,5000,36 months,18.55,182.14,D,6 years,RENT,55299,credit_card,NC,5.37,672,40.32,6360.66,0
172,2015-09-01,10000,10000,36 months,5.37,301.37,A,3 years,RENT,44155,credit_card,OH,35.84,625,27.11,12774.75,0
173,2017-07-01,20000,20000,60 months,14.91,474.85,C,6 years,OWN,41887,medical,MI,30.1,828,35.05,23633.26,0
174,2018-07-01,20000,20000,36 months,10.61,651.09,B,2 years,RENT,98984,debt_consolidation,MI,28.85,738,16.18,27638.09,0
175,2017-02-01,25000,25000,36 months,13.09,843.43,C,< 1 year,RENT,37831,credit_card,TX,11.23,589,50.98,33221.91,0
176,2018-09-01,20000,20000,60 months,6.2,388.52,A,8 years,OWN,109974,debt_consolidation,IL,29.53,800,19.02,7137.89,1
177,2015-12-01,20000,20000,60 months,17.9,506.78,D,9 years,RENT,54681,major_purchase,GA,21.69,590,44.57,7370.68,1
178,2018-08-01,35000,35000,36 months,8.91,1111.53,B,9 years,MORTGAGE,39311,debt_consolidation,OH,42.7,838,25.47,43504.02,0
179,2016-08-01,20000,20000,36 months,25.49,800.39,F,8 years,RENT,30602,medical,OH,40.68,753,46.17,11626.62,1
180,2015-02-01,5000,5000,60 months,5.47,95.44,A,9 years,MORTGAGE,44680,home_improvement,MI,40.05,750,44.78,6252.83,0
181,2018-08-01,20000,20000,36 months,10.05,645.81,B,6 years,OTHER,66304,debt_consolidation,MI,5.7,755,24.15,23448.94,0
182,2017-03-01,25000,25000,36 months,7.64,779.26,A,2 years,OWN,39096,credit_card,IL,31.75,823,44.37,13727.44,1
183,2015-06-01,30000,30000,36 months,26.81,1221.7,F,7 years,MORTGAGE,81650,debt_consolidation,MI,22.58,790,32.23,33601.41,0
184,2018-01-01,15000,15000,36 months,20.48,561.13,E,10+ years,OWN,37942,debt_consolidation,NC,13.93,838,11.35,19664.17,0
185,2017-04-01,5000,5000,36 months,8.26,157.28,B,9 years,MORTGAGE,45484,other,CA,14.16,801,36.6,6784.87,0
186,2017-12-01,5000,5000,36 months,16.44,176.87,D,5 years,RENT,22651,other,IL,13.71,777,41.08,5507.26,0
187,2017-01-01,30000,30000,36 months,23.35,1166.77,E,4 years,RENT,68575,credit_card,PA,20.7,685,8.9,5997.82,1
188,2015-06-01,35000,35000,36 months,12.71,1174.41,C,2 years,RENT,41760,debt_consolidation,IL,44.36,765,46.05,42859.97,0
189,2016-05-01,10000,10000,36 months,15.69,350.04,C,1 year,RENT,126414,credit_card,GA,26.2,716,49.46,11143.24,0
190,2017-06-01,20000,20000,60 months,11.54,440.25,B,5 years,RENT,74823,other,FL,11.64,798,15.5,22335.72,0
191,2018-02-01,15000,15000,36 months,6.45,459.39,A,< 1 year,MORTGAGE,51570,debt_consolidation,CA,26.81,834,12.71,19320.84,0
192,2016-02-01,20000,20000,36 months,23.45,778.89,E,< 1 year,MORTGAGE,102242,debt_consolidation,NY,34.67,655,48.2,25036.63,0
193,2018-10-01,5000,5000,60 months,27.89,155.35,F,10+ years,OWN,62508,small_business,NY,16.72,718,27.89,5563.99,0
194,2015-09-01,35000,35000,60 months,13.01,796.54,C,10+ years,RENT,89765,other,NY,7.02,705,19.59,39158.99,0
195,2018-04-01,15000,15000,36 months,8.4,472.82,B,4 years,RENT,29219,debt_consolidation,CA,20.18,732,28.01,19812.64,0
196,2015-02-01,25000,25000,36 months,10.71,815.04,B,5 years,MORTGAGE,64648,debt_consolidation,NC,36.06,683,40.13,33767.03,0
197,2016-02-01,15000,15000,36 months,18.61,546.89,D,10+ years,MORTGAGE,66279,debt_consolidation,GA,13.68,808,54.15,2104.77,1
198,2018-11-01,25000,25000,36 months,21.41,947.15,E,5 years,RENT,19402,debt_consolidation,NY,5.48,685,55.99,30061.42,0
199,2017-03-01,20000,20000,60 months,20.83,539.16,E,4 years,RENT,121051,credit_card,MI,28.39,698,59.63,22757.74,0
200,2016-01-01,10000,10000,60 months,16.67,246.75,D,5 years,MORTGAGE,24435,debt_consolidation,FL,6.42,788,56.51,3872.5,1
201,2018-01-01,15000,15000,60 months,14.65,354.1,C,< 1 year,MORTGAGE,22485,other,IL,35.55,755,40.64,19421.22,0
202,2018-01-01,25000,25000,60 months,5.64,479.15,A,8 years,OWN,15000,medical,GA,41.21,614,13.21,34414.71,0
203,2018-08-01,10000,10000,60 months,6.3,194.73,A,< 1 year,RENT,65141,debt_consolidation,GA,12.31,786,43.59,13913.51,0
204,2017-10-01,25000,25000,36 months,23.14,969.57,E,9 years,MORTGAGE,18290,other,OH,36.02,783,75.21,8696.45,1
